Instances,VND_1,VND_2,BVNS_1,BVNS_2,GVNS_1,GVNS_2,GVNS_2_1
(value_median) P12,10271.1,10377,10271.1,10271.1,10271.1,10271.1,10271.1
(value_sd) P12,9.09495e-12,0,23.8158,27.5973,45.2281,38.8236,39.1169
(best_value) P12,10271.1,10377,10377,10377,10377,10377,10377.8
(mean_times) P12,1.236,73.452,2.072,7.208,9.382,10.798,3.144
(value_median) P12,1.2,73.2,1.9,3.75,8.25,10.35,1.6
(time_sd) P12,0.0557136,1.24599,0.582423,7.84596,2.0792,1.18042,3.53803
(best_time) P12,1.2,72.6,1.5,2.3,6.8,9.2,1.6
(mean_values) P13,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2
(value_median) P13,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2
(value_sd) P13,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12,7.27596e-12
(best_value) P13,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2,10451.2
(mean_times) P13,1.212,24.862,1.99,6.434,8.218,10.366,1.626
(value_median) P13,1.2,24.8,1.8,3.7,8.05,10.1,1.6
(time_sd) P13,0.0430813,0.230556,0.464435,6.92025,1.51429,1.1976,0.0438634
(best_time) P13,1.1,24.6,1.5,2.1,5.7,8.4,1.6
(mean_values) P14,10252.5,10252.5,10252.5,10252.5,10269.5,10265.3,10265.3
(value_median) P14,10252.5,10252.5,10252.5,10252.5,10252.5,10252.5,10252.5
(value_sd) P14,0,0,0,0,39.0435,34.6084,34.6734
(best_value) P14,10252.5,10252.5,10252.5,10252.5,10359,10359,10359.2
(mean_times) P14,1.222,24.508,1.888,5.418,9.656,11.902,2.99
(value_median) P14,1.2,24,1.8,3.6,9.3,11.75,1.6
(time_sd) P14,0.0900888,2.07266,0.301755,4.62042,2.42777,1.72667,3.71296
(best_time) P14,1.1,23.9,1.6,2.4,5.8,7.8,1.5
(mean_values) P15,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7
(value_median) P15,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7
(value_sd) P15,0,0,0,0,0,0,0
(best_value) P15,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7,12390.7
(mean_times) P15,1.212,17.468,1.896,22.168,6.088,11.884,1.618
(value_median) P15,1.2,17.4,1.9,22,6.2,11.9,1.6
(time_sd) P15,0.0682349,0.26187,0.296621,0.766405,0.501055,0.617531,0.0622575
(best_time) P15,1.1,17.3,1.4,21.3,4.7,10.3,1.6
(mean_values) P16,10177,10177,10177,10177,10177,10177,10177
(value_median) P16,10177,10177,10177,10177,10177,10177,10177
(value_sd) P16,0,0,0,0,0,0,0
(best_value) P16,10177,10177,10177,10177,10177,10177,10177
(mean_times) P16,1.196,24.302,2.034,6.102,9.794,12.064,1.622
(value_median) P16,1.2,24.1,1.9,3.75,9.6,12.25,1.6
(time_sd) P16,0.0488262,0.859416,0.406748,5.93395,1.36035,1.0558,0.0414246
(best_time) P16,1.1,24,1.6,2.2,8,10.2,1.6
(mean_values) P17,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1
(value_median) P17,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1
(value_sd) P17,9.09495e-12,9.09495e-12,9.09495e-12,9.09495e-12,9.09495e-12,9.09495e-12,9.09495e-12
(best_value) P17,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1,10179.1
(mean_times) P17,1.236,25.348,1.906,5.614,8.054,10.644,1.646
(value_median) P17,1.2,25.3,1.8,3.35,8.1,10.75,1.6
(time_sd) P17,0.0591946,0.287221,0.298268,6.07842,1.38177,1.19686,0.0921086
(best_time) P17,1.2,25,1.6,2.2,5,8.4,1.6
(mean_values) P18,9850,9850,9850,9850,9850,9850,9850
(value_median) P18,9850,9850,9850,9850,9850,9850,9850
(value_sd) P18,0,0,0,0,0,0,0
(best_value) P18,9850,9850,9850,9850,9850,9850,9850
(mean_times) P18,1.166,22.202,1.838,6.024,11.086,12.486,1.568
(value_median) P18,1.2,22.2,1.8,3.65,11.2,12.5,1.6
(time_sd) P18,0.0586856,0.25099,0.202869,5.39138,1.3544,1.52958,0.0466476
(best_time) P18,1.1,21.9,1.6,2.3,7.7,8.9,1.5
(mean_values) P19,8704,10431,8774.26,8804,10166.4,10104.9,10104.9
(value_median) P19,8704,10431,8704,8704,10029.5,10005,10005
(value_sd) P19,0,0,224.801,333.149,430.33,478.862,478.862
(best_value) P19,8704,10431,9927,10436,10943,11019,11019
(mean_times) P19,6.998,368964,18.602,140.15,251.364,264.938,8.754
(value_median) P19,6.9,365042,10.6,34.5,240.85,258.85,8.7
(time_sd) P19,0.252579,9375.31,19.0676,163.075,86.4836,86.2487,0.466995
(best_time) P19,6.9,9999,7.3,9.8,96.1,104.7,8.1
(mean_values) P20,9958,10312,9958,9963.64,10114.2,10278,10278
(value_median) P20,9958,10312,9958,9958,9965,10194.5,10194.5
(value_sd) P20,0,0,0,39.48,243.113,393.223,393.223
(best_value) P20,9958,10312,9958,10240,11177,11224,11224
(mean_times) P20,7.234,191938,21.38,1447.46,107.536,149.4,8.476
(value_median) P20,7.2,191755,10.65,78.95,100.25,144.8,8.4
(time_sd) P20,0.153114,1353.39,23.5057,3904.27,55.3513,77.6054,0.259661
(best_time) P20,7.1,9999,6.6,12.6,41.4,60.5,8.2
(mean_values) P21,12773,12939,12773.9,12774.9,12804.7,12816.4,12816.4
(value_median) P21,12773,12939,12773,12773,12773,12773,12773
(value_sd) P21,0,0,4.27088,9.88866,67.1242,89.5376,89.5376
(best_value) P21,12773,12939,12798,12838,13053,13085,13085
(mean_times) P21,7.632,169942,32.156,487.698,82.758,106.556,8.726
(value_median) P21,7.6,169269,24.4,123.8,75.15,85.5,8.7
(time_sd) P21,0.31524,1710.33,25.5318,1376.88,28.0678,52.9243,0.30319
(best_time) P21,7.5,9999,7,13.9,54.6,62.5,8.5
(mean_values) P22,10948,12249,10950.2,10970.2,11765.2,11881.3,11881.3
(value_median) P22,10948,12249,10948,10948,11825.5,12104,12104
(value_sd) P22,0,0,15.54,76.6532,454.191,424.417,424.417
(best_value) P22,10948,12249,11059,11294,12298,12328,12328
(mean_times) P22,7.37,452696,23.726,679.69,171.24,205.442,8.82
(value_median) P22,7.3,452537,13.55,106,165.2,196.9,8.8
(time_sd) P22,0.417253,2965.45,19.8579,1509.52,71.0953,82.3921,0.582065
(best_time) P22,7.2,9999,7.7,9,55,76.3,8.3
(mean_values) P23,9469,10563,9469.32,9475.62,10539.8,10348.5,10348.5
(value_median) P23,9469,10563,9469,9469,10463,10463,10463
(value_sd) P23,0,0,1.56767,24.4809,512.851,603.585,603.585
(best_value) P23,9469,10563,9477,9611,11390,11391,11391
(mean_times) P23,7.146,190203,18.594,105.016,219.388,258.112,8.674
(value_median) P23,7.1,189894,10.95,70.5,252.75,242.35,8.7
(time_sd) P23,0.0669627,1397.72,15.8752,129.88,79.962,143.43,0.352028
(best_time) P23,7.1,9999,5.9,13,62.5,74.9,8.1
(mean_values) P24,13863,15918,13906.6,13931.2,15448.9,15218.9,15218.9
(value_median) P24,13863,15918,13863,13863,15686.5,15350.5,15350.5
(value_sd) P24,0,0,168.76,237.397,841.449,913.888,913.888
(best_value) P24,13863,15918,14764,15023,16520,16982,16982
(mean_times) P24,10.744,1.41279e+06,25.326,699.806,321.808,348.828,12.656
(value_median) P24,10.7,1.41325e+06,11.3,30,317.15,330.15,12.65
(time_sd) P24,0.274343,5915.69,29.6343,2506.71,138.938,188.559,0.588952
(best_time) P24,10.6,9999,8.7,16.7,72.8,102.1,11.9
(mean_values) P25,15583,17222,15583,15585.4,15943.6,15905.9,15905.9
(value_median) P25,15583,17222,15583,15583,15848.5,15734,15734
(value_sd) P25,0,0,0,16.94,442.234,428.414,428.414
(best_value) P25,15583,17222,15583,15704,17293,17136,17136
(mean_times) P25,11.018,1.77523e+06,35.724,282.338,194.16,247.54,12.728
(value_median) P25,10.9,1.77439e+06,18.55,159.25,171.45,202.5,12.5
(time_sd) P25,0.207548,10146.1,42.336,327.794,86.5277,125.811,0.683532
(best_time) P25,10.8,9999,9,19.5,82.8,105.5,12.2
